
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: lvis                    
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 2                       
|                nshot: 5                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/lvis_5shot/fold2 
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.9                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.85                    
|       box_nms_thresh: 0.65                    
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 1                       
|     multimask_output: 1                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: True                    
|         sample_range: (1, 6)                  
| max_sample_iterations: 64                      
|                alpha: 1.0                     
|                 beta: 0.0                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.02                    
|      coverage_filter: 0.0                     
|     use_score_filter: True                    
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.0                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0012/2300] mIoU: 10.67  |  FB-IoU: 82.67 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0013/2300] mIoU: 10.82  |  FB-IoU: 81.64 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0014/2300] mIoU: 12.00  |  FB-IoU: 82.10 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0015/2300] mIoU: 12.45  |  FB-IoU: 75.97 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0016/2300] mIoU: 13.74  |  FB-IoU: 76.78 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0017/2300] mIoU: 14.21  |  FB-IoU: 76.34 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0018/2300] mIoU: 14.58  |  FB-IoU: 75.75 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  0.00    |  19:  0.00   
[Batch: 0019/2300] mIoU: 14.62  |  FB-IoU: 72.93 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19:  0.00   
[Batch: 0020/2300] mIoU: 16.01  |  FB-IoU: 74.86 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0021/2300] mIoU: 17.25  |  FB-IoU: 75.09 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
