
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: isaid                   
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 1                       
|                nshot: 5                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/isaid_5shot/fold1
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: False                   
|         sample_range: (4, 6)                  
| max_sample_iterations: 30                      
|                alpha: 0.8                     
|                 beta: 0.2                     
|                  exp: 1.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.0                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 10                      
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0030/3657] mIoU: 31.17  |  FB-IoU: 67.84 |  0: 65.59    |  1:  0.00    |  2: 42.20    |  3: 48.06    |  4:  0.00   
[Batch: 0031/3657] mIoU: 31.69  |  FB-IoU: 68.43 |  0: 65.59    |  1:  0.00    |  2: 44.78    |  3: 48.06    |  4:  0.00   
[Batch: 0032/3657] mIoU: 31.71  |  FB-IoU: 68.67 |  0: 65.59    |  1:  0.00    |  2: 44.78    |  3: 48.16    |  4:  0.00   
[Batch: 0033/3657] mIoU: 31.83  |  FB-IoU: 68.84 |  0: 65.59    |  1:  0.00    |  2: 45.39    |  3: 48.16    |  4:  0.00   
[Batch: 0034/3657] mIoU: 31.78  |  FB-IoU: 68.95 |  0: 65.59    |  1:  0.00    |  2: 45.39    |  3: 47.92    |  4:  0.00   
[Batch: 0035/3657] mIoU: 31.56  |  FB-IoU: 68.71 |  0: 65.59    |  1:  0.00    |  2: 44.28    |  3: 47.92    |  4:  0.00   
[Batch: 0036/3657] mIoU: 31.18  |  FB-IoU: 68.32 |  0: 65.59    |  1:  0.00    |  2: 44.28    |  3: 46.01    |  4:  0.00   
[Batch: 0037/3657] mIoU: 31.28  |  FB-IoU: 68.39 |  0: 65.59    |  1:  0.00    |  2: 44.78    |  3: 46.01    |  4:  0.00   
[Batch: 0038/3657] mIoU: 31.27  |  FB-IoU: 68.42 |  0: 65.59    |  1:  0.00    |  2: 44.78    |  3: 45.98    |  4:  0.00   
[Batch: 0039/3657] mIoU: 31.29  |  FB-IoU: 68.51 |  0: 65.59    |  1:  0.00    |  2: 44.78    |  3: 46.09    |  4:  0.00   
[Batch: 0040/3657] mIoU: 30.34  |  FB-IoU: 68.25 |  0: 60.81    |  1:  0.00    |  2: 44.78    |  3: 46.09    |  4:  0.00   
[Batch: 0041/3657] mIoU: 30.13  |  FB-IoU: 68.06 |  0: 60.81    |  1:  0.00    |  2: 44.78    |  3: 45.04    |  4:  0.00   
[Batch: 0042/3657] mIoU: 29.89  |  FB-IoU: 67.72 |  0: 60.81    |  1:  0.00    |  2: 43.60    |  3: 45.04    |  4:  0.00   
[Batch: 0043/3657] mIoU: 30.03  |  FB-IoU: 67.85 |  0: 60.81    |  1:  0.00    |  2: 43.60    |  3: 45.73    |  4:  0.00   
[Batch: 0044/3657] mIoU: 29.16  |  FB-IoU: 66.31 |  0: 60.81    |  1:  0.00    |  2: 39.24    |  3: 45.73    |  4:  0.00   
[Batch: 0045/3657] mIoU: 28.97  |  FB-IoU: 65.98 |  0: 60.81    |  1:  0.00    |  2: 39.24    |  3: 44.82    |  4:  0.00   
[Batch: 0046/3657] mIoU: 28.98  |  FB-IoU: 66.13 |  0: 60.81    |  1:  0.00    |  2: 39.24    |  3: 44.84    |  4:  0.00   
[Batch: 0047/3657] mIoU: 28.98  |  FB-IoU: 66.29 |  0: 60.81    |  1:  0.00    |  2: 39.24    |  3: 44.87    |  4:  0.00   
[Batch: 0048/3657] mIoU: 29.54  |  FB-IoU: 66.74 |  0: 63.58    |  1:  0.00    |  2: 39.24    |  3: 44.87    |  4:  0.00   
[Batch: 0049/3657] mIoU: 27.20  |  FB-IoU: 65.62 |  0: 51.88    |  1:  0.00    |  2: 39.24    |  3: 44.87    |  4:  0.00   
