
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: deepglobe               
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 0                       
|                nshot: 5                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/deepglobe_5shot/fold0
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: False                   
|         sample_range: (4, 6)                  
| max_sample_iterations: 30                      
|                alpha: 0.8                     
|                 beta: 0.2                     
|                  exp: 1.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.0                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 10                      
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0027/0600] mIoU: 54.13  |  FB-IoU: 56.68 |  0: 55.63    |  1: 64.30    |  2: 11.63    |  3: 77.29    |  4: 52.66    |  5: 63.25   
[Batch: 0028/0600] mIoU: 54.24  |  FB-IoU: 57.24 |  0: 55.63    |  1: 64.30    |  2: 11.63    |  3: 77.98    |  4: 52.66    |  5: 63.25   
[Batch: 0029/0600] mIoU: 55.13  |  FB-IoU: 57.88 |  0: 55.63    |  1: 64.30    |  2: 11.63    |  3: 77.98    |  4: 57.98    |  5: 63.25   
[Batch: 0030/0600] mIoU: 53.92  |  FB-IoU: 56.62 |  0: 55.63    |  1: 64.30    |  2: 11.63    |  3: 77.98    |  4: 57.98    |  5: 55.98   
[Batch: 0031/0600] mIoU: 52.78  |  FB-IoU: 55.62 |  0: 48.79    |  1: 64.30    |  2: 11.63    |  3: 77.98    |  4: 57.98    |  5: 55.98   
[Batch: 0032/0600] mIoU: 52.56  |  FB-IoU: 55.52 |  0: 48.79    |  1: 63.02    |  2: 11.63    |  3: 77.98    |  4: 57.98    |  5: 55.98   
[Batch: 0033/0600] mIoU: 54.84  |  FB-IoU: 55.88 |  0: 48.79    |  1: 63.02    |  2: 25.26    |  3: 77.98    |  4: 57.98    |  5: 55.98   
[Batch: 0034/0600] mIoU: 55.30  |  FB-IoU: 56.73 |  0: 48.79    |  1: 63.02    |  2: 25.26    |  3: 80.76    |  4: 57.98    |  5: 55.98   
[Batch: 0035/0600] mIoU: 55.70  |  FB-IoU: 57.41 |  0: 48.79    |  1: 63.02    |  2: 25.26    |  3: 80.76    |  4: 60.40    |  5: 55.98   
[Batch: 0036/0600] mIoU: 55.80  |  FB-IoU: 58.02 |  0: 48.79    |  1: 63.02    |  2: 25.26    |  3: 80.76    |  4: 60.40    |  5: 56.57   
[Batch: 0037/0600] mIoU: 54.87  |  FB-IoU: 56.84 |  0: 43.23    |  1: 63.02    |  2: 25.26    |  3: 80.76    |  4: 60.40    |  5: 56.57   
[Batch: 0038/0600] mIoU: 54.99  |  FB-IoU: 57.36 |  0: 43.23    |  1: 63.71    |  2: 25.26    |  3: 80.76    |  4: 60.40    |  5: 56.57   
[Batch: 0039/0600] mIoU: 54.48  |  FB-IoU: 55.62 |  0: 43.23    |  1: 63.71    |  2: 22.18    |  3: 80.76    |  4: 60.40    |  5: 56.57   
[Batch: 0040/0600] mIoU: 53.89  |  FB-IoU: 55.66 |  0: 43.23    |  1: 63.71    |  2: 22.18    |  3: 77.25    |  4: 60.40    |  5: 56.57   
[Batch: 0041/0600] mIoU: 54.01  |  FB-IoU: 56.30 |  0: 43.23    |  1: 63.71    |  2: 22.18    |  3: 77.25    |  4: 61.14    |  5: 56.57   
[Batch: 0042/0600] mIoU: 53.70  |  FB-IoU: 56.56 |  0: 43.23    |  1: 63.71    |  2: 22.18    |  3: 77.25    |  4: 61.14    |  5: 54.68   
[Batch: 0043/0600] mIoU: 53.05  |  FB-IoU: 55.32 |  0: 39.34    |  1: 63.71    |  2: 22.18    |  3: 77.25    |  4: 61.14    |  5: 54.68   
[Batch: 0044/0600] mIoU: 51.77  |  FB-IoU: 54.30 |  0: 39.34    |  1: 56.01    |  2: 22.18    |  3: 77.25    |  4: 61.14    |  5: 54.68   
[Batch: 0045/0600] mIoU: 52.31  |  FB-IoU: 54.59 |  0: 39.34    |  1: 56.01    |  2: 25.41    |  3: 77.25    |  4: 61.14    |  5: 54.68   
[Batch: 0046/0600] mIoU: 52.75  |  FB-IoU: 55.29 |  0: 39.34    |  1: 56.01    |  2: 25.41    |  3: 79.90    |  4: 61.14    |  5: 54.68   
[Batch: 0047/0600] mIoU: 51.43  |  FB-IoU: 54.95 |  0: 39.34    |  1: 56.01    |  2: 25.41    |  3: 79.90    |  4: 53.24    |  5: 54.68   
[Batch: 0048/0600] mIoU: 51.38  |  FB-IoU: 55.36 |  0: 39.34    |  1: 56.01    |  2: 25.41    |  3: 79.90    |  4: 53.24    |  5: 54.37   
[Batch: 0049/0600] mIoU: 51.38  |  FB-IoU: 55.29 |  0: 39.34    |  1: 56.01    |  2: 25.41    |  3: 79.90    |  4: 53.24    |  5: 54.37   
[Batch: 0050/0600] mIoU: 51.85  |  FB-IoU: 55.72 |  0: 39.34    |  1: 58.86    |  2: 25.41    |  3: 79.90    |  4: 53.24    |  5: 54.37   
[Batch: 0051/0600] mIoU: 52.11  |  FB-IoU: 55.76 |  0: 39.34    |  1: 58.86    |  2: 26.93    |  3: 79.90    |  4: 53.24    |  5: 54.37   
[Batch: 0052/0600] mIoU: 51.90  |  FB-IoU: 55.90 |  0: 39.34    |  1: 58.86    |  2: 26.93    |  3: 78.65    |  4: 53.24    |  5: 54.37   
[Batch: 0053/0600] mIoU: 51.53  |  FB-IoU: 56.16 |  0: 39.34    |  1: 58.86    |  2: 26.93    |  3: 78.65    |  4: 51.03    |  5: 54.37   
[Batch: 0054/0600] mIoU: 51.71  |  FB-IoU: 56.03 |  0: 39.34    |  1: 58.86    |  2: 26.93    |  3: 78.65    |  4: 51.03    |  5: 55.45   
[Batch: 0055/0600] mIoU: 52.27  |  FB-IoU: 56.06 |  0: 42.71    |  1: 58.86    |  2: 26.93    |  3: 78.65    |  4: 51.03    |  5: 55.45   
[Batch: 0056/0600] mIoU: 52.34  |  FB-IoU: 56.22 |  0: 42.71    |  1: 59.25    |  2: 26.93    |  3: 78.65    |  4: 51.03    |  5: 55.45   
[Batch: 0057/0600] mIoU: 52.59  |  FB-IoU: 55.53 |  0: 42.71    |  1: 59.25    |  2: 28.42    |  3: 78.65    |  4: 51.03    |  5: 55.45   
[Batch: 0058/0600] mIoU: 52.61  |  FB-IoU: 55.80 |  0: 42.71    |  1: 59.25    |  2: 28.42    |  3: 78.80    |  4: 51.03    |  5: 55.45   
[Batch: 0059/0600] mIoU: 53.17  |  FB-IoU: 56.30 |  0: 42.71    |  1: 59.25    |  2: 28.42    |  3: 78.80    |  4: 54.36    |  5: 55.45   
[Batch: 0060/0600] mIoU: 52.83  |  FB-IoU: 56.20 |  0: 42.71    |  1: 59.25    |  2: 28.42    |  3: 78.80    |  4: 54.36    |  5: 53.42   
