
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: coco                    
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 0                       
|                nshot: 5                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/coco_5shot/fold0 
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.9                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.85                    
|       box_nms_thresh: 0.65                    
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 1                       
|     multimask_output: 1                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: True                    
|         sample_range: (1, 6)                  
| max_sample_iterations: 64                      
|                alpha: 1.0                     
|                 beta: 0.0                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.02                    
|      coverage_filter: 0.0                     
|     use_score_filter: True                    
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.0                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0012/1000] mIoU: 24.61  |  FB-IoU: 71.19 |  0:  0.00    |  1: 95.53    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 64.51    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 75.42    |  18: 24.39    |  19: 75.54   
[Batch: 0013/1000] mIoU: 29.14  |  FB-IoU: 71.79 |  0:  0.00    |  1: 95.53    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 64.51    |  6:  0.00    |  7:  0.00    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 75.42    |  18: 24.39    |  19: 75.54   
[Batch: 0014/1000] mIoU: 30.68  |  FB-IoU: 72.01 |  0: 30.71    |  1: 95.53    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 64.51    |  6:  0.00    |  7:  0.00    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 75.42    |  18: 24.39    |  19: 75.54   
[Batch: 0015/1000] mIoU: 30.36  |  FB-IoU: 72.36 |  0: 30.71    |  1: 95.53    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 64.51    |  6:  0.00    |  7:  0.00    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 68.97    |  18: 24.39    |  19: 75.54   
[Batch: 0016/1000] mIoU: 34.66  |  FB-IoU: 73.02 |  0: 30.71    |  1: 95.53    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 64.51    |  6:  0.00    |  7: 85.98    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 68.97    |  18: 24.39    |  19: 75.54   
[Batch: 0017/1000] mIoU: 38.73  |  FB-IoU: 73.57 |  0: 30.71    |  1: 95.53    |  2:  0.00    |  3: 81.58    |  4:  0.00    |  5: 64.51    |  6:  0.00    |  7: 85.98    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 68.97    |  18: 24.39    |  19: 75.54   
[Batch: 0018/1000] mIoU: 41.83  |  FB-IoU: 73.33 |  0: 30.71    |  1: 95.53    |  2:  0.00    |  3: 81.58    |  4:  0.00    |  5: 64.51    |  6:  0.00    |  7: 85.98    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 61.93    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 68.97    |  18: 24.39    |  19: 75.54   
[Batch: 0019/1000] mIoU: 41.93  |  FB-IoU: 73.93 |  0: 30.71    |  1: 95.53    |  2:  0.00    |  3: 81.58    |  4:  0.00    |  5: 66.48    |  6:  0.00    |  7: 85.98    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 61.93    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 68.97    |  18: 24.39    |  19: 75.54   
[Batch: 0020/1000] mIoU: 41.84  |  FB-IoU: 74.73 |  0: 30.71    |  1: 93.76    |  2:  0.00    |  3: 81.58    |  4:  0.00    |  5: 66.48    |  6:  0.00    |  7: 85.98    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 61.93    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 68.97    |  18: 24.39    |  19: 75.54   
[Batch: 0021/1000] mIoU: 40.29  |  FB-IoU: 74.47 |  0: 30.71    |  1: 93.76    |  2:  0.00    |  3: 81.58    |  4:  0.00    |  5: 66.48    |  6:  0.00    |  7: 54.91    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 61.93    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 68.97    |  18: 24.39    |  19: 75.54   
[Batch: 0022/1000] mIoU: 40.23  |  FB-IoU: 74.82 |  0: 30.71    |  1: 93.76    |  2:  0.00    |  3: 81.58    |  4:  0.00    |  5: 66.48    |  6:  0.00    |  7: 54.91    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 61.93    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 68.97    |  18: 24.39    |  19: 74.31   
[Batch: 0023/1000] mIoU: 44.68  |  FB-IoU: 75.22 |  0: 30.71    |  1: 93.76    |  2:  0.00    |  3: 81.58    |  4: 89.00    |  5: 66.48    |  6:  0.00    |  7: 54.91    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 61.93    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 68.97    |  18: 24.39    |  19: 74.31   
[Batch: 0024/1000] mIoU: 44.78  |  FB-IoU: 76.48 |  0: 30.71    |  1: 93.76    |  2:  0.00    |  3: 81.58    |  4: 91.10    |  5: 66.48    |  6:  0.00    |  7: 54.91    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 61.93    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 68.97    |  18: 24.39    |  19: 74.31   
[Batch: 0025/1000] mIoU: 44.95  |  FB-IoU: 76.94 |  0: 30.71    |  1: 93.76    |  2:  0.00    |  3: 81.58    |  4: 91.10    |  5: 66.48    |  6:  0.00    |  7: 54.91    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 61.93    |  14:  0.00    |  15: 55.49    |  16:  0.00    |  17: 68.97    |  18: 24.39    |  19: 77.62   
[Batch: 0026/1000] mIoU: 47.62  |  FB-IoU: 77.06 |  0: 30.71    |  1: 93.76    |  2:  0.00    |  3: 81.58    |  4: 91.10    |  5: 66.48    |  6:  0.00    |  7: 54.91    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 61.93    |  14:  0.00    |  15: 55.49    |  16: 53.49    |  17: 68.97    |  18: 24.39    |  19: 77.62   
[Batch: 0027/1000] mIoU: 48.07  |  FB-IoU: 78.10 |  0: 30.71    |  1: 93.76    |  2:  0.00    |  3: 81.58    |  4: 91.10    |  5: 66.48    |  6:  0.00    |  7: 54.91    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 70.90    |  14:  0.00    |  15: 55.49    |  16: 53.49    |  17: 68.97    |  18: 24.39    |  19: 77.62   
[Batch: 0028/1000] mIoU: 47.92  |  FB-IoU: 78.28 |  0: 30.71    |  1: 90.73    |  2:  0.00    |  3: 81.58    |  4: 91.10    |  5: 66.48    |  6:  0.00    |  7: 54.91    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 70.90    |  14:  0.00    |  15: 55.49    |  16: 53.49    |  17: 68.97    |  18: 24.39    |  19: 77.62   
[Batch: 0029/1000] mIoU: 49.51  |  FB-IoU: 80.05 |  0: 30.71    |  1: 90.73    |  2:  0.00    |  3: 81.58    |  4: 91.10    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 70.90    |  14:  0.00    |  15: 55.49    |  16: 53.49    |  17: 68.97    |  18: 24.39    |  19: 77.62   
[Batch: 0030/1000] mIoU: 49.90  |  FB-IoU: 80.22 |  0: 30.71    |  1: 90.73    |  2:  0.00    |  3: 81.58    |  4: 91.10    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 70.90    |  14:  0.00    |  15: 55.49    |  16: 61.37    |  17: 68.97    |  18: 24.39    |  19: 77.62   
[Batch: 0031/1000] mIoU: 52.29  |  FB-IoU: 80.32 |  0: 30.71    |  1: 90.73    |  2:  0.00    |  3: 81.58    |  4: 91.10    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 70.90    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 68.97    |  18: 24.39    |  19: 77.62   
[Batch: 0032/1000] mIoU: 54.02  |  FB-IoU: 80.37 |  0: 30.71    |  1: 90.73    |  2: 34.52    |  3: 81.58    |  4: 91.10    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 70.90    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 68.97    |  18: 24.39    |  19: 77.62   
[Batch: 0033/1000] mIoU: 53.96  |  FB-IoU: 80.65 |  0: 30.71    |  1: 90.73    |  2: 34.52    |  3: 81.58    |  4: 89.90    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 90.73    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 70.90    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 68.97    |  18: 24.39    |  19: 77.62   
[Batch: 0034/1000] mIoU: 54.03  |  FB-IoU: 80.78 |  0: 30.71    |  1: 90.73    |  2: 34.52    |  3: 81.58    |  4: 89.90    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10:  0.00    |  11: 10.69    |  12:  0.00    |  13: 70.90    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 68.97    |  18: 24.39    |  19: 77.62   
[Batch: 0035/1000] mIoU: 54.57  |  FB-IoU: 80.86 |  0: 30.71    |  1: 90.73    |  2: 34.52    |  3: 81.58    |  4: 89.90    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10:  0.00    |  11: 21.44    |  12:  0.00    |  13: 70.90    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 68.97    |  18: 24.39    |  19: 77.62   
[Batch: 0036/1000] mIoU: 54.54  |  FB-IoU: 80.97 |  0: 30.71    |  1: 90.73    |  2: 34.52    |  3: 81.58    |  4: 89.37    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10:  0.00    |  11: 21.44    |  12:  0.00    |  13: 70.90    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 68.97    |  18: 24.39    |  19: 77.62   
[Batch: 0037/1000] mIoU: 54.26  |  FB-IoU: 79.90 |  0: 30.71    |  1: 90.73    |  2: 34.52    |  3: 81.58    |  4: 89.37    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10:  0.00    |  11: 21.44    |  12:  0.00    |  13: 70.90    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 68.97    |  18: 18.71    |  19: 77.62   
[Batch: 0038/1000] mIoU: 54.54  |  FB-IoU: 78.72 |  0: 30.71    |  1: 90.73    |  2: 34.52    |  3: 81.58    |  4: 89.37    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10:  0.00    |  11: 21.44    |  12:  0.00    |  13: 70.90    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 68.97    |  18: 24.37    |  19: 77.62   
[Batch: 0039/1000] mIoU: 54.60  |  FB-IoU: 78.94 |  0: 30.71    |  1: 90.73    |  2: 34.52    |  3: 81.58    |  4: 89.37    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10:  0.00    |  11: 21.44    |  12:  0.00    |  13: 72.05    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 68.97    |  18: 24.37    |  19: 77.62   
[Batch: 0040/1000] mIoU: 58.53  |  FB-IoU: 79.25 |  0: 30.71    |  1: 90.73    |  2: 34.52    |  3: 81.58    |  4: 89.37    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10: 78.63    |  11: 21.44    |  12:  0.00    |  13: 72.05    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 68.97    |  18: 24.37    |  19: 77.62   
[Batch: 0041/1000] mIoU: 58.51  |  FB-IoU: 79.31 |  0: 30.71    |  1: 90.73    |  2: 34.52    |  3: 81.58    |  4: 89.37    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10: 78.63    |  11: 21.44    |  12:  0.00    |  13: 71.70    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 68.97    |  18: 24.37    |  19: 77.62   
[Batch: 0042/1000] mIoU: 58.71  |  FB-IoU: 79.43 |  0: 30.71    |  1: 90.73    |  2: 34.52    |  3: 81.58    |  4: 89.37    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10: 78.63    |  11: 21.44    |  12:  0.00    |  13: 71.70    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 72.98    |  18: 24.37    |  19: 77.62   
[Batch: 0043/1000] mIoU: 58.46  |  FB-IoU: 79.39 |  0: 30.71    |  1: 85.72    |  2: 34.52    |  3: 81.58    |  4: 89.37    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10: 78.63    |  11: 21.44    |  12:  0.00    |  13: 71.70    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 72.98    |  18: 24.37    |  19: 77.62   
[Batch: 0044/1000] mIoU: 58.51  |  FB-IoU: 79.77 |  0: 30.71    |  1: 86.60    |  2: 34.52    |  3: 81.58    |  4: 89.37    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10: 78.63    |  11: 21.44    |  12:  0.00    |  13: 71.70    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 72.98    |  18: 24.37    |  19: 77.62   
[Batch: 0045/1000] mIoU: 58.51  |  FB-IoU: 80.38 |  0: 30.71    |  1: 86.60    |  2: 34.52    |  3: 81.58    |  4: 89.41    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10: 78.63    |  11: 21.44    |  12:  0.00    |  13: 71.70    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 72.98    |  18: 24.37    |  19: 77.62   
[Batch: 0046/1000] mIoU: 58.51  |  FB-IoU: 80.51 |  0: 30.71    |  1: 86.60    |  2: 34.52    |  3: 81.58    |  4: 89.44    |  5: 66.48    |  6:  0.00    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10: 78.63    |  11: 21.44    |  12:  0.00    |  13: 71.70    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 72.98    |  18: 24.37    |  19: 77.62   
[Batch: 0047/1000] mIoU: 62.81  |  FB-IoU: 80.61 |  0: 30.71    |  1: 86.60    |  2: 34.52    |  3: 81.58    |  4: 89.44    |  5: 66.48    |  6: 86.11    |  7: 86.76    |  8: 92.16    |  9: 90.56    |  10: 78.63    |  11: 21.44    |  12:  0.00    |  13: 71.70    |  14: 47.77    |  15: 55.49    |  16: 61.37    |  17: 72.98    |  18: 24.37    |  19: 77.62   
