
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: coco                    
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 1                       
|                nshot: 5                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/coco_5shot/fold1 
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.9                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.85                    
|       box_nms_thresh: 0.65                    
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 1                       
|     multimask_output: 1                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: True                    
|         sample_range: (1, 6)                  
| max_sample_iterations: 64                      
|                alpha: 1.0                     
|                 beta: 0.0                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.02                    
|      coverage_filter: 0.0                     
|     use_score_filter: True                    
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.0                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0012/1000] mIoU: 29.71  |  FB-IoU: 73.11 |  0: 94.09    |  1: 95.55    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5:  0.00    |  6: 37.64    |  7: 93.71    |  8:  0.00    |  9: 51.36    |  10: 47.72    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  6.19    |  15:  0.00    |  16: 61.68    |  17:  9.66    |  18: 18.80    |  19: 77.70   
[Batch: 0013/1000] mIoU: 28.99  |  FB-IoU: 72.40 |  0: 94.09    |  1: 95.55    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5:  0.00    |  6: 37.64    |  7: 93.71    |  8:  0.00    |  9: 51.36    |  10: 47.72    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  6.19    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 77.70   
[Batch: 0014/1000] mIoU: 29.13  |  FB-IoU: 70.22 |  0: 94.09    |  1: 95.55    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5:  0.00    |  6: 37.64    |  7: 93.71    |  8:  0.00    |  9: 51.36    |  10: 47.72    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  9.07    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 77.70   
[Batch: 0015/1000] mIoU: 29.54  |  FB-IoU: 70.77 |  0: 94.09    |  1: 95.55    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5:  0.00    |  6: 37.64    |  7: 93.71    |  8:  0.00    |  9: 51.36    |  10: 47.72    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14: 17.23    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 77.70   
[Batch: 0016/1000] mIoU: 33.28  |  FB-IoU: 71.36 |  0: 94.09    |  1: 95.55    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 74.74    |  6: 37.64    |  7: 93.71    |  8:  0.00    |  9: 51.36    |  10: 47.72    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14: 17.23    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 77.70   
[Batch: 0017/1000] mIoU: 35.96  |  FB-IoU: 71.53 |  0: 94.09    |  1: 95.55    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 74.74    |  6: 37.64    |  7: 93.71    |  8:  0.00    |  9: 51.36    |  10: 47.72    |  11:  0.00    |  12: 53.54    |  13:  0.00    |  14: 17.23    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 77.70   
[Batch: 0018/1000] mIoU: 37.85  |  FB-IoU: 71.37 |  0: 94.09    |  1: 95.55    |  2: 37.94    |  3:  0.00    |  4:  0.00    |  5: 74.74    |  6: 37.64    |  7: 93.71    |  8:  0.00    |  9: 51.36    |  10: 47.72    |  11:  0.00    |  12: 53.54    |  13:  0.00    |  14: 17.23    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 77.70   
[Batch: 0019/1000] mIoU: 37.72  |  FB-IoU: 72.02 |  0: 94.09    |  1: 92.86    |  2: 37.94    |  3:  0.00    |  4:  0.00    |  5: 74.74    |  6: 37.64    |  7: 93.71    |  8:  0.00    |  9: 51.36    |  10: 47.72    |  11:  0.00    |  12: 53.54    |  13:  0.00    |  14: 17.23    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 77.70   
[Batch: 0020/1000] mIoU: 38.34  |  FB-IoU: 72.33 |  0: 94.09    |  1: 92.86    |  2: 37.94    |  3:  0.00    |  4:  0.00    |  5: 74.74    |  6: 37.64    |  7: 93.71    |  8:  0.00    |  9: 63.70    |  10: 47.72    |  11:  0.00    |  12: 53.54    |  13:  0.00    |  14: 17.23    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 77.70   
[Batch: 0021/1000] mIoU: 36.89  |  FB-IoU: 72.41 |  0: 65.27    |  1: 92.86    |  2: 37.94    |  3:  0.00    |  4:  0.00    |  5: 74.74    |  6: 37.64    |  7: 93.71    |  8:  0.00    |  9: 63.70    |  10: 47.72    |  11:  0.00    |  12: 53.54    |  13:  0.00    |  14: 17.23    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 77.70   
[Batch: 0022/1000] mIoU: 37.21  |  FB-IoU: 73.97 |  0: 65.27    |  1: 92.86    |  2: 37.94    |  3:  0.00    |  4:  0.00    |  5: 74.74    |  6: 37.64    |  7: 93.71    |  8:  0.00    |  9: 63.70    |  10: 47.72    |  11:  0.00    |  12: 53.54    |  13:  0.00    |  14: 17.23    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 83.93   
[Batch: 0023/1000] mIoU: 37.22  |  FB-IoU: 74.34 |  0: 65.27    |  1: 93.05    |  2: 37.94    |  3:  0.00    |  4:  0.00    |  5: 74.74    |  6: 37.64    |  7: 93.71    |  8:  0.00    |  9: 63.70    |  10: 47.72    |  11:  0.00    |  12: 53.54    |  13:  0.00    |  14: 17.23    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 83.93   
[Batch: 0024/1000] mIoU: 36.99  |  FB-IoU: 74.47 |  0: 65.27    |  1: 93.05    |  2: 37.94    |  3:  0.00    |  4:  0.00    |  5: 74.74    |  6: 37.64    |  7: 89.24    |  8:  0.00    |  9: 63.70    |  10: 47.72    |  11:  0.00    |  12: 53.54    |  13:  0.00    |  14: 17.23    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 83.93   
[Batch: 0025/1000] mIoU: 41.25  |  FB-IoU: 74.73 |  0: 65.27    |  1: 93.05    |  2: 37.94    |  3:  0.00    |  4: 85.13    |  5: 74.74    |  6: 37.64    |  7: 89.24    |  8:  0.00    |  9: 63.70    |  10: 47.72    |  11:  0.00    |  12: 53.54    |  13:  0.00    |  14: 17.23    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 83.93   
[Batch: 0026/1000] mIoU: 41.18  |  FB-IoU: 74.81 |  0: 65.27    |  1: 93.05    |  2: 37.94    |  3:  0.00    |  4: 85.13    |  5: 74.74    |  6: 37.64    |  7: 89.24    |  8:  0.00    |  9: 62.30    |  10: 47.72    |  11:  0.00    |  12: 53.54    |  13:  0.00    |  14: 17.23    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 83.93   
[Batch: 0027/1000] mIoU: 41.91  |  FB-IoU: 75.07 |  0: 65.27    |  1: 93.05    |  2: 52.61    |  3:  0.00    |  4: 85.13    |  5: 74.74    |  6: 37.64    |  7: 89.24    |  8:  0.00    |  9: 62.30    |  10: 47.72    |  11:  0.00    |  12: 53.54    |  13:  0.00    |  14: 17.23    |  15:  0.00    |  16: 47.37    |  17:  9.66    |  18: 18.80    |  19: 83.93   
