
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: deepglobe               
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 0                       
|                nshot: 1                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/deepglobe/fold0  
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: False                   
|         sample_range: (4, 6)                  
| max_sample_iterations: 30                      
|                alpha: 0.8                     
|                 beta: 0.2                     
|                  exp: 1.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.0                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 10                      
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0028/0600] mIoU: 52.23  |  FB-IoU: 53.10 |  0: 35.29    |  1: 61.06    |  2: 64.01    |  3: 66.64    |  4: 73.67    |  5: 12.72   
[Batch: 0029/0600] mIoU: 52.16  |  FB-IoU: 54.19 |  0: 35.29    |  1: 61.06    |  2: 64.01    |  3: 66.64    |  4: 73.27    |  5: 12.72   
[Batch: 0030/0600] mIoU: 53.26  |  FB-IoU: 54.99 |  0: 35.29    |  1: 61.06    |  2: 64.01    |  3: 66.64    |  4: 73.27    |  5: 19.28   
[Batch: 0031/0600] mIoU: 52.64  |  FB-IoU: 53.49 |  0: 31.59    |  1: 61.06    |  2: 64.01    |  3: 66.64    |  4: 73.27    |  5: 19.28   
[Batch: 0032/0600] mIoU: 51.61  |  FB-IoU: 52.67 |  0: 31.59    |  1: 54.90    |  2: 64.01    |  3: 66.64    |  4: 73.27    |  5: 19.28   
[Batch: 0033/0600] mIoU: 51.26  |  FB-IoU: 52.68 |  0: 31.59    |  1: 54.90    |  2: 61.86    |  3: 66.64    |  4: 73.27    |  5: 19.28   
[Batch: 0034/0600] mIoU: 51.10  |  FB-IoU: 52.74 |  0: 31.59    |  1: 54.90    |  2: 61.86    |  3: 65.68    |  4: 73.27    |  5: 19.28   
[Batch: 0035/0600] mIoU: 50.19  |  FB-IoU: 53.15 |  0: 31.59    |  1: 54.90    |  2: 61.86    |  3: 65.68    |  4: 67.83    |  5: 19.28   
[Batch: 0036/0600] mIoU: 51.69  |  FB-IoU: 54.10 |  0: 31.59    |  1: 54.90    |  2: 61.86    |  3: 65.68    |  4: 67.83    |  5: 28.28   
[Batch: 0037/0600] mIoU: 52.50  |  FB-IoU: 54.79 |  0: 36.42    |  1: 54.90    |  2: 61.86    |  3: 65.68    |  4: 67.83    |  5: 28.28   
[Batch: 0038/0600] mIoU: 53.41  |  FB-IoU: 55.55 |  0: 36.42    |  1: 60.37    |  2: 61.86    |  3: 65.68    |  4: 67.83    |  5: 28.28   
[Batch: 0039/0600] mIoU: 52.72  |  FB-IoU: 54.77 |  0: 36.42    |  1: 60.37    |  2: 57.77    |  3: 65.68    |  4: 67.83    |  5: 28.28   
[Batch: 0040/0600] mIoU: 52.69  |  FB-IoU: 54.82 |  0: 36.42    |  1: 60.37    |  2: 57.77    |  3: 65.46    |  4: 67.83    |  5: 28.28   
[Batch: 0041/0600] mIoU: 52.04  |  FB-IoU: 54.49 |  0: 36.42    |  1: 60.37    |  2: 57.77    |  3: 65.46    |  4: 63.91    |  5: 28.28   
[Batch: 0042/0600] mIoU: 51.59  |  FB-IoU: 54.10 |  0: 36.42    |  1: 60.37    |  2: 57.77    |  3: 65.46    |  4: 63.91    |  5: 25.58   
[Batch: 0043/0600] mIoU: 51.30  |  FB-IoU: 53.56 |  0: 34.69    |  1: 60.37    |  2: 57.77    |  3: 65.46    |  4: 63.91    |  5: 25.58   
[Batch: 0044/0600] mIoU: 51.54  |  FB-IoU: 53.95 |  0: 34.69    |  1: 61.80    |  2: 57.77    |  3: 65.46    |  4: 63.91    |  5: 25.58   
[Batch: 0045/0600] mIoU: 51.06  |  FB-IoU: 53.30 |  0: 34.69    |  1: 61.80    |  2: 54.93    |  3: 65.46    |  4: 63.91    |  5: 25.58   
[Batch: 0046/0600] mIoU: 51.58  |  FB-IoU: 53.81 |  0: 34.69    |  1: 61.80    |  2: 54.93    |  3: 68.60    |  4: 63.91    |  5: 25.58   
[Batch: 0047/0600] mIoU: 50.50  |  FB-IoU: 53.61 |  0: 34.69    |  1: 61.80    |  2: 54.93    |  3: 68.60    |  4: 57.42    |  5: 25.58   
[Batch: 0048/0600] mIoU: 50.93  |  FB-IoU: 52.98 |  0: 34.69    |  1: 61.80    |  2: 54.93    |  3: 68.60    |  4: 57.42    |  5: 28.18   
[Batch: 0049/0600] mIoU: 51.72  |  FB-IoU: 53.22 |  0: 39.40    |  1: 61.80    |  2: 54.93    |  3: 68.60    |  4: 57.42    |  5: 28.18   
[Batch: 0050/0600] mIoU: 51.41  |  FB-IoU: 53.08 |  0: 39.40    |  1: 59.94    |  2: 54.93    |  3: 68.60    |  4: 57.42    |  5: 28.18   
[Batch: 0051/0600] mIoU: 51.47  |  FB-IoU: 53.31 |  0: 39.40    |  1: 59.94    |  2: 55.30    |  3: 68.60    |  4: 57.42    |  5: 28.18   
[Batch: 0052/0600] mIoU: 51.70  |  FB-IoU: 53.52 |  0: 39.40    |  1: 59.94    |  2: 55.30    |  3: 69.94    |  4: 57.42    |  5: 28.18   
[Batch: 0053/0600] mIoU: 51.77  |  FB-IoU: 54.09 |  0: 39.40    |  1: 59.94    |  2: 55.30    |  3: 69.94    |  4: 57.89    |  5: 28.18   
[Batch: 0054/0600] mIoU: 50.97  |  FB-IoU: 52.69 |  0: 39.40    |  1: 59.94    |  2: 55.30    |  3: 69.94    |  4: 57.89    |  5: 23.34   
[Batch: 0055/0600] mIoU: 51.30  |  FB-IoU: 52.53 |  0: 41.41    |  1: 59.94    |  2: 55.30    |  3: 69.94    |  4: 57.89    |  5: 23.34   
[Batch: 0056/0600] mIoU: 52.11  |  FB-IoU: 53.14 |  0: 41.41    |  1: 64.81    |  2: 55.30    |  3: 69.94    |  4: 57.89    |  5: 23.34   
[Batch: 0057/0600] mIoU: 51.15  |  FB-IoU: 52.02 |  0: 41.41    |  1: 64.81    |  2: 49.49    |  3: 69.94    |  4: 57.89    |  5: 23.34   
[Batch: 0058/0600] mIoU: 51.04  |  FB-IoU: 52.03 |  0: 41.41    |  1: 64.81    |  2: 49.49    |  3: 69.31    |  4: 57.89    |  5: 23.34   
[Batch: 0059/0600] mIoU: 51.88  |  FB-IoU: 52.50 |  0: 41.41    |  1: 64.81    |  2: 49.49    |  3: 69.31    |  4: 62.91    |  5: 23.34   
[Batch: 0060/0600] mIoU: 52.23  |  FB-IoU: 53.09 |  0: 41.41    |  1: 64.81    |  2: 49.49    |  3: 69.31    |  4: 62.91    |  5: 25.48   
[Batch: 0061/0600] mIoU: 52.59  |  FB-IoU: 53.48 |  0: 43.55    |  1: 64.81    |  2: 49.49    |  3: 69.31    |  4: 62.91    |  5: 25.48   
[Batch: 0062/0600] mIoU: 52.03  |  FB-IoU: 53.02 |  0: 43.55    |  1: 61.47    |  2: 49.49    |  3: 69.31    |  4: 62.91    |  5: 25.48   
[Batch: 0063/0600] mIoU: 51.92  |  FB-IoU: 53.11 |  0: 43.55    |  1: 61.47    |  2: 48.78    |  3: 69.31    |  4: 62.91    |  5: 25.48   
[Batch: 0064/0600] mIoU: 51.49  |  FB-IoU: 52.82 |  0: 43.55    |  1: 61.47    |  2: 48.78    |  3: 66.76    |  4: 62.91    |  5: 25.48   
[Batch: 0065/0600] mIoU: 50.29  |  FB-IoU: 52.33 |  0: 43.55    |  1: 61.47    |  2: 48.78    |  3: 66.76    |  4: 55.74    |  5: 25.48   
[Batch: 0066/0600] mIoU: 50.73  |  FB-IoU: 52.29 |  0: 43.55    |  1: 61.47    |  2: 48.78    |  3: 66.76    |  4: 55.74    |  5: 28.07   
