
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: pascal                  
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 0                       
|                nshot: 5                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/pascal_5shot/fold0
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: False                   
|         sample_range: (4, 6)                  
| max_sample_iterations: 30                      
|                alpha: 1.0                     
|                 beta: 0.0                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.0                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 10                      
|                 seed: 0                       
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0030/1000] mIoU: 81.23  |  FB-IoU: 90.97 |  0: 87.93    |  1: 60.60    |  2: 99.00    |  3: 83.43    |  4: 75.20   
[Batch: 0031/1000] mIoU: 81.36  |  FB-IoU: 91.17 |  0: 88.57    |  1: 60.60    |  2: 99.00    |  3: 83.43    |  4: 75.20   
[Batch: 0032/1000] mIoU: 81.31  |  FB-IoU: 91.49 |  0: 88.57    |  1: 60.60    |  2: 98.77    |  3: 83.43    |  4: 75.20   
[Batch: 0033/1000] mIoU: 78.92  |  FB-IoU: 90.18 |  0: 88.57    |  1: 60.60    |  2: 98.77    |  3: 71.46    |  4: 75.20   
[Batch: 0034/1000] mIoU: 80.12  |  FB-IoU: 90.06 |  0: 88.57    |  1: 60.60    |  2: 98.77    |  3: 71.46    |  4: 81.22   
[Batch: 0035/1000] mIoU: 80.64  |  FB-IoU: 90.13 |  0: 88.57    |  1: 60.60    |  2: 98.77    |  3: 74.03    |  4: 81.22   
[Batch: 0036/1000] mIoU: 80.56  |  FB-IoU: 90.01 |  0: 88.57    |  1: 60.21    |  2: 98.77    |  3: 74.03    |  4: 81.22   
[Batch: 0037/1000] mIoU: 81.49  |  FB-IoU: 90.50 |  0: 88.57    |  1: 60.21    |  2: 98.77    |  3: 74.03    |  4: 85.89   
[Batch: 0038/1000] mIoU: 81.60  |  FB-IoU: 90.61 |  0: 88.57    |  1: 60.21    |  2: 98.77    |  3: 74.03    |  4: 86.42   
[Batch: 0039/1000] mIoU: 82.09  |  FB-IoU: 91.03 |  0: 88.57    |  1: 60.21    |  2: 98.77    |  3: 74.03    |  4: 88.85   
[Batch: 0040/1000] mIoU: 82.15  |  FB-IoU: 91.13 |  0: 88.89    |  1: 60.21    |  2: 98.77    |  3: 74.03    |  4: 88.85   
[Batch: 0041/1000] mIoU: 82.11  |  FB-IoU: 91.14 |  0: 88.67    |  1: 60.21    |  2: 98.77    |  3: 74.03    |  4: 88.85   
[Batch: 0042/1000] mIoU: 82.08  |  FB-IoU: 91.08 |  0: 88.67    |  1: 60.21    |  2: 98.77    |  3: 73.90    |  4: 88.85   
[Batch: 0043/1000] mIoU: 82.20  |  FB-IoU: 91.23 |  0: 89.29    |  1: 60.21    |  2: 98.77    |  3: 73.90    |  4: 88.85   
[Batch: 0044/1000] mIoU: 82.19  |  FB-IoU: 91.27 |  0: 89.29    |  1: 60.21    |  2: 98.70    |  3: 73.90    |  4: 88.85   
[Batch: 0045/1000] mIoU: 82.20  |  FB-IoU: 91.32 |  0: 89.29    |  1: 60.21    |  2: 98.70    |  3: 73.90    |  4: 88.92   
[Batch: 0046/1000] mIoU: 81.35  |  FB-IoU: 90.12 |  0: 89.29    |  1: 55.96    |  2: 98.70    |  3: 73.90    |  4: 88.92   
[Batch: 0047/1000] mIoU: 81.59  |  FB-IoU: 90.41 |  0: 90.48    |  1: 55.96    |  2: 98.70    |  3: 73.90    |  4: 88.92   
[Batch: 0048/1000] mIoU: 81.56  |  FB-IoU: 90.51 |  0: 90.48    |  1: 55.96    |  2: 98.57    |  3: 73.90    |  4: 88.92   
[Batch: 0049/1000] mIoU: 81.43  |  FB-IoU: 90.23 |  0: 90.48    |  1: 55.29    |  2: 98.57    |  3: 73.90    |  4: 88.92   
[Batch: 0050/1000] mIoU: 81.52  |  FB-IoU: 90.38 |  0: 90.90    |  1: 55.29    |  2: 98.57    |  3: 73.90    |  4: 88.92   
[Batch: 0051/1000] mIoU: 81.59  |  FB-IoU: 90.50 |  0: 91.25    |  1: 55.29    |  2: 98.57    |  3: 73.90    |  4: 88.92   
[Batch: 0052/1000] mIoU: 81.66  |  FB-IoU: 90.52 |  0: 91.25    |  1: 55.29    |  2: 98.57    |  3: 74.27    |  4: 88.92   
[Batch: 0053/1000] mIoU: 81.40  |  FB-IoU: 89.98 |  0: 91.25    |  1: 54.01    |  2: 98.57    |  3: 74.27    |  4: 88.92   
[Batch: 0054/1000] mIoU: 81.43  |  FB-IoU: 90.20 |  0: 91.25    |  1: 54.01    |  2: 98.72    |  3: 74.27    |  4: 88.92   
[Batch: 0055/1000] mIoU: 81.35  |  FB-IoU: 90.23 |  0: 91.25    |  1: 54.01    |  2: 98.29    |  3: 74.27    |  4: 88.92   
[Batch: 0056/1000] mIoU: 81.35  |  FB-IoU: 90.27 |  0: 91.25    |  1: 54.01    |  2: 98.29    |  3: 74.27    |  4: 88.92   
[Batch: 0057/1000] mIoU: 81.18  |  FB-IoU: 90.30 |  0: 91.25    |  1: 54.01    |  2: 97.44    |  3: 74.27    |  4: 88.92   
[Batch: 0058/1000] mIoU: 80.37  |  FB-IoU: 90.05 |  0: 91.25    |  1: 54.01    |  2: 93.39    |  3: 74.27    |  4: 88.92   
[Batch: 0059/1000] mIoU: 80.40  |  FB-IoU: 89.62 |  0: 91.25    |  1: 54.18    |  2: 93.39    |  3: 74.27    |  4: 88.92   
