
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: pascal                  
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 1                       
|                nshot: 1                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/pascal/fold1     
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: False                   
|         sample_range: (4, 6)                  
| max_sample_iterations: 30                      
|                alpha: 1.0                     
|                 beta: 0.0                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.0                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 10                      
|                 seed: 0                       
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0030/1000] mIoU: 74.29  |  FB-IoU: 84.44 |  0: 68.61    |  1: 88.38    |  2: 91.28    |  3: 24.63    |  4: 98.53   
[Batch: 0031/1000] mIoU: 74.92  |  FB-IoU: 85.02 |  0: 68.61    |  1: 91.55    |  2: 91.28    |  3: 24.63    |  4: 98.53   
[Batch: 0032/1000] mIoU: 75.07  |  FB-IoU: 85.36 |  0: 68.61    |  1: 91.55    |  2: 92.02    |  3: 24.63    |  4: 98.53   
[Batch: 0033/1000] mIoU: 75.23  |  FB-IoU: 85.59 |  0: 69.43    |  1: 91.55    |  2: 92.02    |  3: 24.63    |  4: 98.53   
[Batch: 0034/1000] mIoU: 75.10  |  FB-IoU: 86.05 |  0: 69.43    |  1: 91.55    |  2: 92.02    |  3: 24.63    |  4: 97.86   
[Batch: 0035/1000] mIoU: 75.48  |  FB-IoU: 86.38 |  0: 71.34    |  1: 91.55    |  2: 92.02    |  3: 24.63    |  4: 97.86   
[Batch: 0036/1000] mIoU: 75.48  |  FB-IoU: 86.52 |  0: 71.34    |  1: 91.57    |  2: 92.02    |  3: 24.63    |  4: 97.86   
[Batch: 0037/1000] mIoU: 75.51  |  FB-IoU: 86.65 |  0: 71.47    |  1: 91.57    |  2: 92.02    |  3: 24.63    |  4: 97.86   
[Batch: 0038/1000] mIoU: 75.97  |  FB-IoU: 86.99 |  0: 73.75    |  1: 91.57    |  2: 92.02    |  3: 24.63    |  4: 97.86   
[Batch: 0039/1000] mIoU: 75.85  |  FB-IoU: 86.85 |  0: 73.19    |  1: 91.57    |  2: 92.02    |  3: 24.63    |  4: 97.86   
[Batch: 0040/1000] mIoU: 75.78  |  FB-IoU: 87.27 |  0: 73.19    |  1: 91.57    |  2: 92.02    |  3: 24.63    |  4: 97.49   
[Batch: 0041/1000] mIoU: 76.09  |  FB-IoU: 87.60 |  0: 73.19    |  1: 93.13    |  2: 92.02    |  3: 24.63    |  4: 97.49   
[Batch: 0042/1000] mIoU: 76.26  |  FB-IoU: 87.88 |  0: 73.19    |  1: 93.13    |  2: 92.88    |  3: 24.63    |  4: 97.49   
[Batch: 0043/1000] mIoU: 76.64  |  FB-IoU: 87.99 |  0: 73.19    |  1: 93.13    |  2: 92.88    |  3: 26.52    |  4: 97.49   
[Batch: 0044/1000] mIoU: 77.99  |  FB-IoU: 88.11 |  0: 73.19    |  1: 93.13    |  2: 92.88    |  3: 33.28    |  4: 97.49   
[Batch: 0045/1000] mIoU: 80.23  |  FB-IoU: 88.06 |  0: 73.19    |  1: 93.13    |  2: 92.88    |  3: 44.48    |  4: 97.49   
[Batch: 0046/1000] mIoU: 80.71  |  FB-IoU: 87.66 |  0: 73.19    |  1: 93.13    |  2: 92.88    |  3: 46.85    |  4: 97.49   
[Batch: 0047/1000] mIoU: 80.28  |  FB-IoU: 87.30 |  0: 73.19    |  1: 93.13    |  2: 92.88    |  3: 44.73    |  4: 97.49   
[Batch: 0048/1000] mIoU: 80.47  |  FB-IoU: 87.66 |  0: 73.19    |  1: 93.13    |  2: 93.80    |  3: 44.73    |  4: 97.49   
[Batch: 0049/1000] mIoU: 80.51  |  FB-IoU: 87.86 |  0: 73.19    |  1: 93.13    |  2: 94.00    |  3: 44.73    |  4: 97.49   
[Batch: 0050/1000] mIoU: 80.37  |  FB-IoU: 87.89 |  0: 73.19    |  1: 92.44    |  2: 94.00    |  3: 44.73    |  4: 97.49   
[Batch: 0051/1000] mIoU: 80.14  |  FB-IoU: 87.85 |  0: 73.19    |  1: 92.44    |  2: 94.00    |  3: 44.73    |  4: 96.34   
[Batch: 0052/1000] mIoU: 80.04  |  FB-IoU: 87.93 |  0: 73.19    |  1: 91.96    |  2: 94.00    |  3: 44.73    |  4: 96.34   
[Batch: 0053/1000] mIoU: 80.06  |  FB-IoU: 88.02 |  0: 73.19    |  1: 92.05    |  2: 94.00    |  3: 44.73    |  4: 96.34   
[Batch: 0054/1000] mIoU: 80.15  |  FB-IoU: 88.26 |  0: 73.19    |  1: 92.05    |  2: 94.43    |  3: 44.73    |  4: 96.34   
[Batch: 0055/1000] mIoU: 79.74  |  FB-IoU: 88.17 |  0: 73.19    |  1: 90.01    |  2: 94.43    |  3: 44.73    |  4: 96.34   
[Batch: 0056/1000] mIoU: 79.76  |  FB-IoU: 88.29 |  0: 73.19    |  1: 90.01    |  2: 94.43    |  3: 44.73    |  4: 96.45   
[Batch: 0057/1000] mIoU: 80.22  |  FB-IoU: 88.02 |  0: 73.19    |  1: 90.01    |  2: 94.43    |  3: 47.00    |  4: 96.45   
[Batch: 0058/1000] mIoU: 80.24  |  FB-IoU: 88.13 |  0: 73.19    |  1: 90.01    |  2: 94.53    |  3: 47.00    |  4: 96.45   
[Batch: 0059/1000] mIoU: 80.91  |  FB-IoU: 88.49 |  0: 76.56    |  1: 90.01    |  2: 94.53    |  3: 47.00    |  4: 96.45   
[Batch: 0060/1000] mIoU: 81.05  |  FB-IoU: 88.62 |  0: 77.27    |  1: 90.01    |  2: 94.53    |  3: 47.00    |  4: 96.45   
[Batch: 0061/1000] mIoU: 81.02  |  FB-IoU: 88.67 |  0: 77.27    |  1: 89.87    |  2: 94.53    |  3: 47.00    |  4: 96.45   
[Batch: 0062/1000] mIoU: 81.01  |  FB-IoU: 88.61 |  0: 77.27    |  1: 89.87    |  2: 94.53    |  3: 46.92    |  4: 96.45   
[Batch: 0063/1000] mIoU: 81.52  |  FB-IoU: 88.65 |  0: 77.27    |  1: 89.87    |  2: 94.53    |  3: 49.48    |  4: 96.45   
[Batch: 0064/1000] mIoU: 81.55  |  FB-IoU: 88.77 |  0: 77.27    |  1: 89.87    |  2: 94.69    |  3: 49.48    |  4: 96.45   
[Batch: 0065/1000] mIoU: 81.78  |  FB-IoU: 88.96 |  0: 77.27    |  1: 91.02    |  2: 94.69    |  3: 49.48    |  4: 96.45   
[Batch: 0066/1000] mIoU: 82.83  |  FB-IoU: 89.09 |  0: 77.27    |  1: 91.02    |  2: 94.69    |  3: 54.73    |  4: 96.45   
[Batch: 0067/1000] mIoU: 82.08  |  FB-IoU: 88.50 |  0: 77.27    |  1: 91.02    |  2: 94.69    |  3: 50.96    |  4: 96.45   
[Batch: 0068/1000] mIoU: 82.07  |  FB-IoU: 88.57 |  0: 77.27    |  1: 91.02    |  2: 94.69    |  3: 50.96    |  4: 96.43   
[Batch: 0069/1000] mIoU: 82.05  |  FB-IoU: 88.67 |  0: 77.27    |  1: 91.02    |  2: 94.69    |  3: 50.96    |  4: 96.32   
[Batch: 0070/1000] mIoU: 82.06  |  FB-IoU: 88.74 |  0: 77.27    |  1: 91.06    |  2: 94.69    |  3: 50.96    |  4: 96.32   
[Batch: 0071/1000] mIoU: 81.25  |  FB-IoU: 88.24 |  0: 77.27    |  1: 91.06    |  2: 90.63    |  3: 50.96    |  4: 96.32   
[Batch: 0072/1000] mIoU: 81.36  |  FB-IoU: 88.41 |  0: 77.27    |  1: 91.06    |  2: 91.17    |  3: 50.96    |  4: 96.32   
[Batch: 0073/1000] mIoU: 79.99  |  FB-IoU: 87.77 |  0: 77.27    |  1: 84.23    |  2: 91.17    |  3: 50.96    |  4: 96.32   
[Batch: 0074/1000] mIoU: 79.73  |  FB-IoU: 87.66 |  0: 77.27    |  1: 82.91    |  2: 91.17    |  3: 50.96    |  4: 96.32   
[Batch: 0075/1000] mIoU: 79.53  |  FB-IoU: 87.54 |  0: 77.27    |  1: 82.91    |  2: 91.17    |  3: 49.95    |  4: 96.32   
[Batch: 0076/1000] mIoU: 79.95  |  FB-IoU: 87.64 |  0: 77.27    |  1: 82.91    |  2: 91.17    |  3: 52.10    |  4: 96.32   
[Batch: 0077/1000] mIoU: 80.35  |  FB-IoU: 87.70 |  0: 77.27    |  1: 82.91    |  2: 91.17    |  3: 54.09    |  4: 96.32   
[Batch: 0078/1000] mIoU: 79.88  |  FB-IoU: 87.29 |  0: 77.27    |  1: 82.91    |  2: 91.17    |  3: 51.70    |  4: 96.32   
[Batch: 0079/1000] mIoU: 79.88  |  FB-IoU: 87.35 |  0: 77.27    |  1: 82.91    |  2: 91.17    |  3: 51.70    |  4: 96.35   
[Batch: 0080/1000] mIoU: 80.06  |  FB-IoU: 87.49 |  0: 78.19    |  1: 82.91    |  2: 91.17    |  3: 51.70    |  4: 96.35   
[Batch: 0081/1000] mIoU: 80.12  |  FB-IoU: 87.63 |  0: 78.19    |  1: 82.91    |  2: 91.46    |  3: 51.70    |  4: 96.35   
[Batch: 0082/1000] mIoU: 80.15  |  FB-IoU: 87.61 |  0: 78.19    |  1: 82.91    |  2: 91.46    |  3: 51.82    |  4: 96.35   
[Batch: 0083/1000] mIoU: 80.18  |  FB-IoU: 87.72 |  0: 78.19    |  1: 82.91    |  2: 91.46    |  3: 51.82    |  4: 96.50   
[Batch: 0084/1000] mIoU: 80.25  |  FB-IoU: 87.79 |  0: 78.57    |  1: 82.91    |  2: 91.46    |  3: 51.82    |  4: 96.50   
[Batch: 0085/1000] mIoU: 79.62  |  FB-IoU: 87.48 |  0: 78.57    |  1: 79.77    |  2: 91.46    |  3: 51.82    |  4: 96.50   
[Batch: 0086/1000] mIoU: 79.43  |  FB-IoU: 87.33 |  0: 78.57    |  1: 79.77    |  2: 91.46    |  3: 50.87    |  4: 96.50   
[Batch: 0087/1000] mIoU: 79.48  |  FB-IoU: 87.35 |  0: 78.57    |  1: 79.77    |  2: 91.46    |  3: 51.11    |  4: 96.50   
[Batch: 0088/1000] mIoU: 78.44  |  FB-IoU: 86.72 |  0: 78.57    |  1: 74.55    |  2: 91.46    |  3: 51.11    |  4: 96.50   
[Batch: 0089/1000] mIoU: 77.65  |  FB-IoU: 86.22 |  0: 78.57    |  1: 74.55    |  2: 87.50    |  3: 51.11    |  4: 96.50   
[Batch: 0090/1000] mIoU: 77.57  |  FB-IoU: 86.31 |  0: 78.57    |  1: 74.55    |  2: 87.50    |  3: 51.11    |  4: 96.10   
[Batch: 0091/1000] mIoU: 77.64  |  FB-IoU: 86.43 |  0: 78.57    |  1: 74.55    |  2: 87.89    |  3: 51.11    |  4: 96.10   
[Batch: 0092/1000] mIoU: 77.68  |  FB-IoU: 86.49 |  0: 78.76    |  1: 74.55    |  2: 87.89    |  3: 51.11    |  4: 96.10   
[Batch: 0093/1000] mIoU: 77.25  |  FB-IoU: 86.24 |  0: 78.76    |  1: 72.37    |  2: 87.89    |  3: 51.11    |  4: 96.10   
[Batch: 0094/1000] mIoU: 77.50  |  FB-IoU: 86.27 |  0: 78.76    |  1: 72.37    |  2: 87.89    |  3: 52.38    |  4: 96.10   
