
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: pascal_part             
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 1                       
|                nshot: 1                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/pascal_part/fold1
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: True                    
| use_points_or_centers: True                    
|         sample_range: (3, 6)                  
| max_sample_iterations: 128                     
|                alpha: 0.5                     
|                 beta: 0.5                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.3                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0034/0959] mIoU: 48.90  |  FB-IoU: 52.60 |  0: 55.03    |  1: 62.06    |  2: 33.65    |  3: 44.86   
[Batch: 0035/0959] mIoU: 49.45  |  FB-IoU: 53.42 |  0: 55.03    |  1: 62.06    |  2: 35.85    |  3: 44.86   
[Batch: 0036/0959] mIoU: 51.08  |  FB-IoU: 54.12 |  0: 55.03    |  1: 62.06    |  2: 35.85    |  3: 51.39   
[Batch: 0037/0959] mIoU: 50.94  |  FB-IoU: 53.84 |  0: 54.45    |  1: 62.06    |  2: 35.85    |  3: 51.39   
[Batch: 0038/0959] mIoU: 50.36  |  FB-IoU: 53.65 |  0: 54.45    |  1: 59.74    |  2: 35.85    |  3: 51.39   
[Batch: 0039/0959] mIoU: 50.43  |  FB-IoU: 54.24 |  0: 54.45    |  1: 59.74    |  2: 36.12    |  3: 51.39   
[Batch: 0040/0959] mIoU: 50.52  |  FB-IoU: 54.48 |  0: 54.45    |  1: 59.74    |  2: 36.12    |  3: 51.76   
[Batch: 0041/0959] mIoU: 50.73  |  FB-IoU: 54.47 |  0: 55.30    |  1: 59.74    |  2: 36.12    |  3: 51.76   
[Batch: 0042/0959] mIoU: 50.25  |  FB-IoU: 54.36 |  0: 55.30    |  1: 57.80    |  2: 36.12    |  3: 51.76   
[Batch: 0043/0959] mIoU: 50.75  |  FB-IoU: 55.08 |  0: 55.30    |  1: 57.80    |  2: 38.12    |  3: 51.76   
[Batch: 0044/0959] mIoU: 51.29  |  FB-IoU: 55.06 |  0: 55.30    |  1: 57.80    |  2: 38.12    |  3: 53.93   
[Batch: 0045/0959] mIoU: 51.69  |  FB-IoU: 55.45 |  0: 56.91    |  1: 57.80    |  2: 38.12    |  3: 53.93   
[Batch: 0046/0959] mIoU: 52.01  |  FB-IoU: 55.43 |  0: 56.91    |  1: 59.10    |  2: 38.12    |  3: 53.93   
[Batch: 0047/0959] mIoU: 52.02  |  FB-IoU: 55.03 |  0: 56.91    |  1: 59.10    |  2: 38.12    |  3: 53.93   
[Batch: 0048/0959] mIoU: 52.52  |  FB-IoU: 55.72 |  0: 56.91    |  1: 59.10    |  2: 38.12    |  3: 55.93   
[Batch: 0049/0959] mIoU: 52.59  |  FB-IoU: 55.80 |  0: 57.20    |  1: 59.10    |  2: 38.12    |  3: 55.93   
[Batch: 0050/0959] mIoU: 52.77  |  FB-IoU: 56.17 |  0: 57.20    |  1: 59.85    |  2: 38.12    |  3: 55.93   
[Batch: 0051/0959] mIoU: 52.26  |  FB-IoU: 55.91 |  0: 57.20    |  1: 59.85    |  2: 36.05    |  3: 55.93   
[Batch: 0052/0959] mIoU: 52.92  |  FB-IoU: 56.52 |  0: 57.20    |  1: 59.85    |  2: 36.05    |  3: 58.59   
[Batch: 0053/0959] mIoU: 52.52  |  FB-IoU: 55.95 |  0: 55.58    |  1: 59.85    |  2: 36.05    |  3: 58.59   
[Batch: 0054/0959] mIoU: 52.96  |  FB-IoU: 56.41 |  0: 55.58    |  1: 61.63    |  2: 36.05    |  3: 58.59   
[Batch: 0055/0959] mIoU: 53.21  |  FB-IoU: 56.92 |  0: 55.58    |  1: 61.63    |  2: 37.04    |  3: 58.59   
[Batch: 0056/0959] mIoU: 53.61  |  FB-IoU: 57.47 |  0: 55.58    |  1: 61.63    |  2: 37.04    |  3: 60.17   
[Batch: 0057/0959] mIoU: 54.21  |  FB-IoU: 57.96 |  0: 58.00    |  1: 61.63    |  2: 37.04    |  3: 60.17   
[Batch: 0058/0959] mIoU: 54.08  |  FB-IoU: 57.69 |  0: 58.00    |  1: 61.09    |  2: 37.04    |  3: 60.17   
[Batch: 0059/0959] mIoU: 53.73  |  FB-IoU: 57.70 |  0: 58.00    |  1: 61.09    |  2: 35.64    |  3: 60.17   
[Batch: 0060/0959] mIoU: 54.24  |  FB-IoU: 58.20 |  0: 58.00    |  1: 61.09    |  2: 35.64    |  3: 62.22   
[Batch: 0061/0959] mIoU: 54.15  |  FB-IoU: 58.20 |  0: 57.66    |  1: 61.09    |  2: 35.64    |  3: 62.22   
[Batch: 0062/0959] mIoU: 54.42  |  FB-IoU: 58.62 |  0: 57.66    |  1: 62.14    |  2: 35.64    |  3: 62.22   
[Batch: 0063/0959] mIoU: 54.57  |  FB-IoU: 58.93 |  0: 57.66    |  1: 62.14    |  2: 36.27    |  3: 62.22   
[Batch: 0064/0959] mIoU: 53.73  |  FB-IoU: 58.41 |  0: 57.66    |  1: 62.14    |  2: 36.27    |  3: 58.84   
